species,latitude,longitude
Ostreopsis ovata,-2.0465,72.1568
Ostreopsis ovata,9.3725,-79.9485
Ostreopsis ovata,9.3171,-82.187
Ostreopsis ovata,9.403,-79.861
Ostreopsis ovata,8.8876,-79.6568
Ostreopsis ovata,9.3852,-82.3018
Ostreopsis ovata,9.3508,-79.9473
Ostreopsis ovata,-5.99,-35.08
Ostreopsis ovata,-13.4787,144.8317
Ostreopsis ovata,-18.6107,146.4868
Ostreopsis ovata,-19.1541,146.6426
Ostreopsis ovata,-18.5744,146.4964
Ostreopsis ovata,-12.807,45.2248
Ostreopsis ovata,-23.1571,-135.031
Ostreopsis ovata,6.8381,-153.1058
Ostreopsis ovata,6.7379,-153.0809
Ostreopsis ovata,35.8427,-37.1526
Ostreopsis ovata,14.2035,-116.6261
Ostreopsis ovata,0.0307,-84.612
Ostreopsis ovata,-23.1594,-134.9245
Ostreopsis ovata,0.0222,-153.6858
Ostreopsis ovata,-23.0244,-134.9228
Ostreopsis ovata,11.2723,-152.3711
Ostreopsis ovata,-23.1108,-134.9327
Ostreopsis ovata,36.5158,-3.9942
Ostreopsis ovata,35.759,14.2574
Ostreopsis ovata,-2.0461,72.1573
Ostreopsis ovata,-23.2318,-134.9279
Ostreopsis ovata,-23.1571,-135.018
Ostreopsis ovata,-21.146,-104.787
Ostreopsis ovata,41.6666,2.7962
Ostreopsis ovata,41.6663,2.7994
Ostreopsis ovata,0.0063,-84.585
Ostreopsis ovata,-0.0283,-84.5862
Ostreopsis ovata,-16.8083,59.5043
Ostreopsis ovata,-23.0731,-135.018
Ostreopsis ovata,22.7598,-157.9568
Ostreopsis ovata,-23.0242,-134.9232
Ostreopsis ovata,-23.2329,-134.9606
Ostreopsis ovata,33.061,-66.5435
Ostreopsis ovata,4.66,73.4856
Ostreopsis ovata,-23.1571,-135.0182
Ostreopsis ovata,22.7901,-157.9439
Ostreopsis ovata,-8.903,-140.2801
Ostreopsis ovata,39.3991,19.3997
Ostreopsis ovata,-23.0246,-134.9235
Ostreopsis ovata,-11.9873,-151.05
Ostreopsis ovata,41.6686,2.7996
Ostreopsis ovata,-23.1107,-134.9329
Ostreopsis ovata,-23.2317,-134.9611
Ostreopsis ovata,-23.0244,-134.9233
Ostreopsis ovata,36.0322,-4.4493
Ostreopsis ovata,35.7528,14.2765
Ostreopsis ovata,4.6599,73.4856
Ostreopsis ovata,-0.6623,73.1629
Ostreopsis ovata,-23.2229,-134.9607
Ostreopsis ovata,-23.1594,-134.9238
